r1,r2,r3
9.6,16.4,0.0
9.6,16.4,0.0
9.6,16.4,0.0
9.6,16.4,0.0
9.6,16.4,0.0
9.6,16.4,0.0
9.6,16.4,0.0
9.6,16.4,0.0
9.6,16.4,0.0
9.6,16.4,0.0
9.6,16.4,0.0
9.6,16.4,0.0
9.6,16.4,0.0
9.6,16.4,0.0
9.6,16.4,0.0
9.6,16.4,0.0
9.6,16.4,0.0
9.6,16.4,0.0
9.6,16.4,0.0
9.6,16.4,0.0
9.6,16.4,0.0
9.6,16.4,0.0
9.6,16.4,0.0
9.6,16.4,0.0
9.6,16.4,0.0
9.6,16.4,0.0
9.6,16.4,0.0
9.6,16.4,0.0
9.6,16.4,0.0
9.6,16.4,0.0
9.6,16.4,0.0
9.6,16.4,0.0
9.6,16.4,0.0
9.6,16.4,0.0
9.6,16.4,0.0
9.6,16.4,0.0
9.6,16.4,0.0
9.6,16.4,0.0
9.6,16.4,0.0
9.6,16.4,0.0
9.6,16.4,0.0
9.6,16.4,0.0
9.6,16.4,0.0
9.6,16.4,0.0
9.6,16.4,0.0
9.6,16.4,0.0
9.6,16.4,0.0
10.4,16.4,0.0
10.4,16.4,0.0
10.4,16.4,0.0
10.4,16.4,0.0
10.4,16.4,0.0
10.4,16.4,0.0
10.4,16.4,0.0
10.4,16.4,0.0
10.4,16.4,0.0
10.4,16.4,0.0
10.4,16.4,0.0
10.4,16.4,0.0
10.4,16.4,0.0
10.4,16.4,0.0
10.4,16.4,0.0
10.4,16.4,0.0
10.4,16.4,0.0
10.4,16.4,0.0
10.4,16.4,0.0
10.4,16.4,0.0
10.4,16.4,0.0
10.4,16.4,0.0
10.4,16.4,0.0
10.4,16.4,0.0
10.4,16.4,0.0
10.4,16.4,0.0
10.4,16.4,0.0
10.4,16.4,0.0
10.4,16.4,0.0
10.4,16.4,0.0
10.4,16.4,0.0
10.4,16.4,0.0
10.4,16.4,0.0
10.4,16.4,0.0
10.4,16.4,0.0
10.4,16.4,0.0
10.4,16.4,0.0
10.4,16.4,0.0
10.4,16.4,0.0
10.4,16.4,0.0
10.4,16.4,0.0
10.4,16.4,0.0
10.4,16.4,0.0
10.4,16.4,0.0
10.4,16.4,0.0
10.4,16.4,0.0
10.4,16.4,0.0
10.4,16.4,0.0
10.4,16.4,0.0
10.4,16.4,0.0
10.4,16.4,0.0
10.4,16.4,0.0
10.4,16.4,0.0
10.4,16.4,0.0
10.4,16.4,0.0
10.4,16.4,0.0
10.4,16.4,0.0
10.4,16.4,0.0
10.4,16.4,0.0
10.4,16.4,0.0
10.4,16.4,0.0
10.4,16.4,0.0
10.4,16.4,0.0
10.4,16.4,0.0
10.4,16.4,0.0
10.4,16.4,0.0
10.4,16.4,0.0
10.4,16.4,0.0
10.4,16.4,0.0
10.4,16.4,0.0
10.4,16.4,0.0
10.4,16.4,0.0
10.4,16.4,0.0
10.4,16.4,0.0
10.4,16.4,0.0
11.2,16.4,0.0
11.2,16.4,0.0
11.2,16.4,0.0
11.2,16.4,0.0
11.2,16.4,0.0
11.2,16.4,0.0
11.2,16.4,0.0
11.2,16.4,0.0
11.2,16.4,0.0
11.2,16.4,0.0
11.2,16.4,0.0
11.2,16.4,0.0
11.2,16.4,0.0
11.2,16.4,0.0
11.2,16.4,0.0
11.2,16.4,0.0
11.2,16.4,0.0
11.2,16.4,0.0
11.2,16.4,0.0
11.2,16.4,0.0
11.2,16.4,0.0
11.2,16.4,0.0
11.2,16.4,0.0
11.2,16.4,0.0
11.2,16.4,0.0
11.2,16.4,0.0
11.2,16.4,0.0
11.2,16.4,0.0
11.2,16.4,0.0
11.2,16.4,0.0
11.2,16.4,0.0
11.2,16.4,0.0
11.2,16.4,0.0
11.2,16.4,0.0
11.2,16.4,0.0
11.2,16.4,0.0
11.2,16.4,0.0
11.2,16.4,0.0
11.2,16.4,0.0
11.2,16.4,0.0
11.2,16.4,0.0
11.2,16.4,0.0
11.2,16.4,0.0
11.2,16.4,0.0
11.2,16.4,0.0
11.2,16.4,0.0
11.2,16.4,0.0
11.2,16.4,0.0
11.2,16.4,0.0
11.2,16.4,0.0
11.2,16.4,0.0
11.2,16.4,0.0
11.2,16.4,0.0
11.2,16.4,0.0
11.2,16.4,0.0
11.2,16.4,0.0
11.2,16.4,0.0
11.2,16.4,0.0
11.2,16.4,0.0
11.2,16.4,0.0
11.2,16.4,0.0
11.2,16.4,0.0
11.2,16.4,0.0
11.2,16.4,0.0
11.2,16.4,0.0
11.2,16.4,0.0
11.2,16.4,0.0
11.2,16.4,0.0
11.2,16.4,0.0
11.2,16.4,0.0
11.2,16.4,0.0
11.2,16.4,0.0
11.2,16.4,0.0
11.2,16.4,0.0
11.2,16.4,0.0
12.0,16.4,0.0
12.0,16.4,0.0
12.0,16.4,0.0
12.0,16.4,0.0
12.0,16.4,0.0
12.0,16.4,0.0
12.0,16.4,0.0
12.0,16.4,0.0
12.0,16.4,0.0
12.0,16.4,0.0
12.0,16.4,0.0
12.0,16.4,0.0
12.0,16.4,0.0
12.0,16.4,0.0
12.0,16.4,0.0
12.0,16.4,0.0
12.0,16.4,0.0
12.0,16.4,0.0
12.0,16.4,0.0
12.0,16.4,0.0
12.0,16.4,0.0
12.0,16.4,0.0
12.0,16.4,0.0
12.0,16.4,0.0
12.0,16.4,0.0
12.0,16.4,0.0
12.0,16.4,0.0
12.0,16.4,0.0
12.0,16.4,0.0
12.0,16.4,0.0
12.0,16.4,0.0
12.0,16.4,0.0
12.0,16.4,0.0
12.0,16.4,0.0
12.0,16.4,0.0
12.0,16.4,0.0
12.0,16.4,0.0
12.0,16.4,0.0
12.0,16.4,0.0
12.0,16.4,0.0
12.0,16.4,0.0
12.0,16.4,0.0
12.0,16.4,0.0
12.0,16.4,0.0
12.0,16.4,0.0
12.0,16.4,0.0
12.0,16.4,0.0
12.0,16.4,0.0
12.0,16.4,0.0
12.0,16.4,0.0
12.0,16.4,0.0
12.0,16.4,0.0
12.0,16.4,0.0
12.0,16.4,0.0
12.0,16.4,0.0
12.0,16.4,0.0
12.0,16.4,0.0
12.0,16.4,0.0
12.0,16.4,0.0
12.0,16.4,0.0
12.0,16.4,0.0
12.0,16.4,0.0
12.0,16.4,0.0
12.0,16.4,0.0
12.0,16.4,0.0
12.0,16.4,0.0
12.0,16.4,0.0
12.0,16.4,0.0
12.0,16.4,0.0
12.0,16.4,0.0
12.0,16.4,0.0
12.0,16.4,0.0
12.0,16.4,0.0
12.0,16.4,0.0
12.0,16.4,0.0
12.8,16.4,0.0
12.8,16.4,0.0
12.8,16.4,0.0
12.8,16.4,0.0
12.8,16.4,0.0
12.8,16.4,0.0
12.8,16.4,0.0
12.8,16.4,0.0
12.8,16.4,0.0
12.8,16.4,0.0
12.8,16.4,0.0
12.8,16.4,0.0
12.8,16.4,0.0
12.8,16.4,0.0
12.8,16.4,0.0
12.8,16.4,0.0
12.8,16.4,0.0
12.8,16.4,0.0
12.8,16.4,0.0
12.8,16.4,0.0
12.8,16.4,0.0
12.8,16.4,0.0
12.8,16.4,0.0
12.8,16.4,0.0
12.8,16.4,0.0
12.8,16.4,0.0
12.8,16.4,0.0
12.8,16.4,0.0
12.8,16.4,0.0
12.8,16.4,0.0
12.8,16.4,0.0
12.8,16.4,0.0
12.8,16.4,0.0
12.8,16.4,0.0
12.8,16.4,0.0
12.8,16.4,0.0
12.8,16.4,0.0
12.8,16.4,0.0
12.8,16.4,0.0
12.8,16.4,0.0
12.8,16.4,0.0
12.8,16.4,0.0
12.8,16.4,0.0
12.8,16.4,0.0
12.8,16.4,0.0
12.8,16.4,0.0
12.8,16.4,0.0
12.8,16.4,0.0
12.8,16.4,0.0
12.8,16.4,0.0
12.8,16.4,0.0
12.8,16.4,0.0
12.8,16.4,0.0
12.8,16.4,0.0
12.8,16.4,0.0
12.8,16.4,0.0
12.8,16.4,0.0
12.8,16.4,0.0
12.8,16.4,0.0
12.8,16.4,0.0
12.8,16.4,0.0
12.8,16.4,0.0
12.8,16.4,0.0
12.8,16.4,0.0
12.8,16.4,0.0
12.8,16.4,0.0
12.8,16.4,0.0
12.8,16.4,0.0
12.8,16.4,0.0
12.8,16.4,0.0
12.8,16.4,0.0
12.8,16.4,0.0
12.8,16.4,0.0
12.8,16.4,0.0
12.8,16.4,0.0
13.6,16.4,0.0
13.6,16.4,0.0
13.6,16.4,0.0
13.6,16.4,0.0
13.6,16.4,0.0
13.6,16.4,0.0
13.6,16.4,0.0
13.6,16.4,0.0
13.6,16.4,0.0
13.6,16.4,0.0
13.6,16.4,0.0
13.6,16.4,0.0
13.6,16.4,0.0
13.6,16.4,0.0
13.6,16.4,0.0
13.6,16.4,0.0
13.6,16.4,0.0
13.6,16.4,0.0
13.6,16.4,0.0
13.6,16.4,0.0
13.6,16.4,0.0
13.6,16.4,0.0
13.6,16.4,0.0
13.6,16.4,0.0
13.6,16.4,0.0
13.6,16.4,0.0
13.6,16.4,0.0
13.6,16.4,0.0
13.6,16.4,0.0
13.6,16.4,0.0
13.6,16.4,0.0
13.6,16.4,0.0
13.6,16.4,0.0
13.6,16.4,0.0
13.6,16.4,0.0
13.6,16.4,0.0
13.6,16.4,0.0
13.6,16.4,0.0
13.6,16.4,0.0
13.6,16.4,0.0
13.6,16.4,0.0
13.6,16.4,0.0
13.6,16.4,0.0
13.6,16.4,0.0
13.6,16.4,0.0
13.6,16.4,0.0
13.6,16.4,0.0
13.6,16.4,0.0
13.6,16.4,0.0
13.6,16.4,0.0
13.6,16.4,0.0
13.6,16.4,0.0
13.6,16.4,0.0
13.6,16.4,0.0
13.6,16.4,0.0
13.6,16.4,0.0
13.6,16.4,0.0
13.6,16.4,0.0
13.6,16.4,0.0
13.6,16.4,0.0
13.6,16.4,0.0
13.6,16.4,0.0
13.6,16.4,0.0
13.6,16.4,0.0
13.6,16.4,0.0
13.6,16.4,0.0
13.6,16.4,0.0
13.6,16.4,0.0
13.6,16.4,0.0
13.6,16.4,0.0
13.6,16.4,0.0
13.6,16.4,0.0
13.6,16.4,0.0
13.6,16.4,0.0
13.6,16.4,0.0
14.2,16.4,0.0
14.2,16.4,0.0
14.2,16.4,0.0
14.2,16.4,0.0
14.2,16.4,0.0
14.2,16.4,0.0
14.2,16.4,0.0
14.2,16.4,0.0
14.2,16.4,0.0
14.2,16.4,0.0
14.2,16.4,0.0
14.2,16.4,0.0
14.2,16.4,0.0
14.2,16.4,0.0
14.2,16.4,0.0
14.2,16.4,0.0
14.2,16.4,0.0
14.2,16.4,0.0
14.2,16.4,0.0
14.2,16.4,0.0
14.2,16.4,0.0
14.2,16.4,0.0
14.2,16.4,0.0
14.2,16.4,0.0
14.2,16.4,0.0
14.2,16.4,0.0
14.2,16.4,0.0
14.2,16.4,0.0
14.2,16.4,0.0
14.2,16.4,0.0
14.2,16.4,0.0
14.2,16.4,0.0
14.2,16.4,0.0
14.2,16.4,0.0
14.2,16.4,0.0
14.2,16.4,0.0
14.2,16.4,0.0
14.2,16.4,0.0
14.2,16.4,0.0
14.2,16.4,0.0
14.2,16.4,0.0
14.2,16.4,0.0
14.2,16.4,0.0
14.2,16.4,0.0
14.2,16.4,0.0
14.2,16.4,0.0
14.2,16.4,0.0
14.2,16.4,0.0
14.2,16.4,0.0
14.2,16.4,0.0
14.2,16.4,0.0
14.2,16.4,0.0
14.2,16.4,0.0
14.2,16.4,0.0
14.2,16.4,0.0
14.2,16.4,0.0
14.2,16.4,0.0
14.2,16.4,0.0
14.2,16.4,0.0
14.2,16.4,0.0
14.2,16.4,0.0
14.2,16.4,0.0
14.2,16.4,0.0
14.2,16.4,0.0
14.2,16.4,0.0
14.2,16.4,0.0
14.2,16.4,0.0
14.2,16.4,0.0
14.2,16.4,0.0
14.2,16.4,0.0
14.2,16.4,0.0
14.2,16.4,0.0
14.2,16.4,0.0
14.2,16.4,0.0
14.2,16.4,0.0
15.0,16.4,0.0
15.0,16.4,0.0
15.0,16.4,0.0
15.0,16.4,0.0
15.0,16.4,0.0
15.0,16.4,0.0
15.0,16.4,0.0
15.0,16.4,0.0
15.0,16.4,0.0
15.0,16.4,0.0
15.0,16.4,0.0
15.0,16.4,0.0
15.0,16.4,0.0
15.0,16.4,0.0
15.0,16.4,0.0
15.0,16.4,0.0
15.0,16.4,0.0
15.0,16.4,0.0
15.0,16.4,0.0
15.0,16.4,0.0
15.0,16.4,0.0
15.0,16.4,0.0
15.0,16.4,0.0
15.0,16.4,0.0
15.0,16.4,0.0
15.0,16.4,0.0
15.0,16.4,0.0
15.0,16.4,0.0
15.0,16.4,0.0
15.0,16.4,0.0
15.0,16.4,0.0
15.0,16.4,0.0
15.0,16.4,0.0
15.0,16.4,0.0
15.0,16.4,0.0
15.0,16.4,0.0
15.0,16.4,0.0
15.0,16.4,0.0
15.0,16.4,0.0
15.0,16.4,0.0
15.0,16.4,0.0
15.0,16.4,0.0
15.0,16.4,0.0
15.0,16.4,0.0
15.0,16.4,0.0
15.0,16.4,0.0
15.0,16.4,0.0
15.0,16.4,0.0
15.0,16.4,0.0
15.0,16.4,0.0
15.0,16.4,0.0
15.0,16.4,0.0
15.0,16.4,0.0
15.0,16.4,0.0
15.0,16.4,0.0
15.0,16.4,0.0
15.0,16.4,0.0
15.0,16.4,0.0
15.0,16.4,0.0
15.0,16.4,0.0
15.0,16.4,0.0
15.0,16.4,0.0
15.0,16.4,0.0
15.0,16.4,0.0
15.0,16.4,0.0
15.0,16.4,0.0
15.0,16.4,0.0
15.0,16.4,0.0
15.0,16.4,0.0
15.0,16.4,0.0
15.0,16.4,0.0
15.0,16.4,0.0
15.0,16.4,0.0
15.0,16.4,0.0
15.0,16.4,0.0
15.8,16.4,0.0
15.8,16.4,0.0
15.8,16.4,0.0
15.8,16.4,0.0
15.8,16.4,0.0
15.8,16.4,0.0
15.8,16.4,0.0
15.8,16.4,0.0
15.8,16.4,0.0
15.8,16.4,0.0
15.8,16.4,0.0
15.8,16.4,0.0
15.8,16.4,0.0
15.8,16.4,0.0
15.8,16.4,0.0
15.8,16.4,0.0
15.8,16.4,0.0
15.8,16.4,0.0
15.8,16.4,0.0
15.8,16.4,0.0
15.8,16.4,0.0
15.8,16.4,0.0
15.8,16.4,0.0
15.8,16.4,0.0
15.8,16.4,0.0
15.8,16.4,0.0
15.8,16.4,0.0
15.8,16.4,0.0
15.8,16.4,0.0
15.8,16.4,0.0
15.8,16.4,0.0
15.8,16.4,0.0
15.8,16.4,0.0
15.8,16.4,0.0
15.8,16.4,0.0
15.8,16.4,0.0
15.8,16.4,0.0
15.8,16.4,0.0
15.8,16.4,0.0
15.8,16.4,0.0
15.8,16.4,0.0
15.8,16.4,0.0
15.8,16.4,0.0
15.8,16.4,0.0
15.8,16.4,0.0
15.8,16.4,0.0
15.8,16.4,0.0
15.8,16.4,0.0
15.8,16.4,0.0
15.8,16.4,0.0
15.8,16.4,0.0
15.8,16.4,0.0
15.8,16.4,0.0
15.8,16.4,0.0
15.8,16.4,0.0
15.8,16.4,0.0
15.8,16.4,0.0
15.8,16.4,0.0
15.8,16.4,0.0
15.8,16.4,0.0
15.8,16.4,0.0
15.8,16.4,0.0
15.8,16.4,0.0
15.8,16.4,0.0
15.8,16.4,0.0
15.8,16.4,0.0
15.8,16.4,0.0
15.8,16.4,0.0
15.8,16.4,0.0
15.8,16.4,0.0
15.8,16.4,0.0
15.8,16.4,0.0
15.8,16.4,0.0
15.8,16.4,0.0
15.8,16.4,0.0
3.6,8.0,0.0
3.6,8.0,0.0
3.6,8.0,0.0
3.6,8.0,0.0
3.6,8.0,0.0
3.6,8.0,0.0
3.6,8.0,0.0
3.6,8.0,0.0
3.6,8.0,0.0
3.6,8.0,0.0
3.6,8.0,0.0
3.6,8.0,0.0
3.6,8.0,0.0
3.6,8.0,0.0
3.6,8.0,0.0
3.6,8.0,0.0
3.6,8.0,0.0
3.6,8.0,0.0
3.6,8.0,0.0
3.6,8.0,0.0
3.6,8.0,0.0
3.6,8.0,0.0
3.6,8.0,0.0
3.6,8.0,0.0
3.6,8.0,0.0
3.6,8.0,0.0
3.6,8.0,0.0
3.6,8.0,0.0
3.6,8.0,0.0
3.6,8.0,0.0
3.6,8.0,0.0
3.6,8.0,0.0
3.6,8.0,0.0
3.6,8.0,0.0
3.6,8.0,0.0
3.6,8.0,0.0
3.6,8.0,0.0
3.6,8.0,0.0
3.6,8.0,0.0
3.6,8.0,0.0
3.6,8.0,0.0
3.6,8.0,0.0
3.6,8.0,0.0
3.6,8.0,0.0
3.6,8.0,0.0
3.6,8.0,0.0
3.6,8.0,0.0
3.6,8.0,0.0
3.6,8.0,0.0
3.6,8.0,0.0
3.6,8.0,0.0
3.6,8.0,0.0
3.6,8.0,0.0
3.6,8.0,0.0
3.6,8.0,0.0
3.6,8.0,0.0
3.6,8.0,0.0
3.6,8.0,0.0
3.6,8.0,0.0
3.6,8.0,0.0
3.6,8.0,0.0
3.6,8.0,0.0
3.6,8.0,0.0
3.6,8.0,0.0
3.6,8.0,0.0
3.6,8.0,0.0
3.6,8.0,0.0
3.6,8.0,0.0
3.6,8.0,0.0
3.6,8.0,0.0
3.6,8.0,0.0
3.6,8.0,0.0
3.6,8.0,0.0
3.6,8.0,0.0
3.6,8.0,0.0
16.6,16.4,0.0
16.6,16.4,0.0
16.6,16.4,0.0
16.6,16.4,0.0
16.6,16.4,0.0
16.6,16.4,0.0
16.6,16.4,0.0
16.6,16.4,0.0
16.6,16.4,0.0
16.6,16.4,0.0
16.6,16.4,0.0
16.6,16.4,0.0
16.6,16.4,0.0
16.6,16.4,0.0
16.6,16.4,0.0
16.6,16.4,0.0
16.6,16.4,0.0
16.6,16.4,0.0
16.6,16.4,0.0
16.6,16.4,0.0
16.6,16.4,0.0
16.6,16.4,0.0
16.6,16.4,0.0
16.6,16.4,0.0
16.6,16.4,0.0
16.6,16.4,0.0
16.6,16.4,0.0
16.6,16.4,0.0
16.6,16.4,0.0
16.6,16.4,0.0
16.6,16.4,0.0
16.6,16.4,0.0
16.6,16.4,0.0
16.6,16.4,0.0
16.6,16.4,0.0
16.6,16.4,0.0
16.6,16.4,0.0
16.6,16.4,0.0
16.6,16.4,0.0
16.6,16.4,0.0
16.6,16.4,0.0
16.6,16.4,0.0
16.6,16.4,0.0
16.6,16.4,0.0
16.6,16.4,0.0
16.6,16.4,0.0
16.6,16.4,0.0
16.6,16.4,0.0
16.6,16.4,0.0
16.6,16.4,0.0
16.6,16.4,0.0
16.6,16.4,0.0
16.6,16.4,0.0
16.6,16.4,0.0
16.6,16.4,0.0
16.6,16.4,0.0
16.6,16.4,0.0
16.6,16.4,0.0
16.6,16.4,0.0
16.6,16.4,0.0
16.6,16.4,0.0
16.6,16.4,0.0
16.6,16.4,0.0
16.6,16.4,0.0
16.6,16.4,0.0
16.6,16.4,0.0
16.6,16.4,0.0
16.6,16.4,0.0
16.6,16.4,0.0
16.6,16.4,0.0
16.6,16.4,0.0
16.6,16.4,0.0
16.6,16.4,0.0
16.6,16.4,0.0
16.6,16.4,0.0
17.4,16.4,0.0
17.4,16.4,0.0
17.4,16.4,0.0
17.4,16.4,0.0
17.4,16.4,0.0
17.4,16.4,0.0
17.4,16.4,0.0
17.4,16.4,0.0
17.4,16.4,0.0
17.4,16.4,0.0
17.4,16.4,0.0
17.4,16.4,0.0
17.4,16.4,0.0
17.4,16.4,0.0
17.4,16.4,0.0
17.4,16.4,0.0
17.4,16.4,0.0
17.4,16.4,0.0
17.4,16.4,0.0
17.4,16.4,0.0
17.4,16.4,0.0
17.4,16.4,0.0
17.4,16.4,0.0
17.4,16.4,0.0
17.4,16.4,0.0
17.4,16.4,0.0
17.4,16.4,0.0
17.4,16.4,0.0
17.4,16.4,0.0
17.4,16.4,0.0
17.4,16.4,0.0
17.4,16.4,0.0
17.4,16.4,0.0
17.4,16.4,0.0
17.4,16.4,0.0
17.4,16.4,0.0
17.4,16.4,0.0
17.4,16.4,0.0
17.4,16.4,0.0
17.4,16.4,0.0
17.4,16.4,0.0
17.4,16.4,0.0
17.4,16.4,0.0
17.4,16.4,0.0
17.4,16.4,0.0
17.4,16.4,0.0
17.4,16.4,0.0
17.4,16.4,0.0
17.4,16.4,0.0
17.4,16.4,0.0
17.4,16.4,0.0
17.4,16.4,0.0
17.4,16.4,0.0
17.4,16.4,0.0
17.4,16.4,0.0
17.4,16.4,0.0
17.4,16.4,0.0
17.4,16.4,0.0
17.4,16.4,0.0
17.4,16.4,0.0
17.4,16.4,0.0
17.4,16.4,0.0
17.4,16.4,0.0
17.4,16.4,0.0
17.4,16.4,0.0
17.4,16.4,0.0
17.4,16.4,0.0
17.4,16.4,0.0
17.4,16.4,0.0
17.4,16.4,0.0
17.4,16.4,0.0
17.4,16.4,0.0
17.4,16.4,0.0
17.4,16.4,0.0
17.4,16.4,0.0
18.2,16.4,0.0
18.2,16.4,0.0
18.2,16.4,0.0
18.2,16.4,0.0
18.2,16.4,0.0
18.2,16.4,0.0
18.2,16.4,0.0
18.2,16.4,0.0
18.2,16.4,0.0
18.2,16.4,0.0
18.2,16.4,0.0
18.2,16.4,0.0
18.2,16.4,0.0
18.2,16.4,0.0
18.2,16.4,0.0
18.2,16.4,0.0
18.2,16.4,0.0
18.2,16.4,0.0
18.2,16.4,0.0
18.2,16.4,0.0
18.2,16.4,0.0
18.2,16.4,0.0
18.2,16.4,0.0
18.2,16.4,0.0
18.2,16.4,0.0
18.2,16.4,0.0
18.2,16.4,0.0
18.2,16.4,0.0
18.2,16.4,0.0
18.2,16.4,0.0
18.2,16.4,0.0
18.2,16.4,0.0
18.2,16.4,0.0
18.2,16.4,0.0
18.2,16.4,0.0
18.2,16.4,0.0
18.2,16.4,0.0
18.2,16.4,0.0
18.2,16.4,0.0
18.2,16.4,0.0
18.2,16.4,0.0
18.2,16.4,0.0
18.2,16.4,0.0
18.2,16.4,0.0
18.2,16.4,0.0
18.2,16.4,0.0
18.2,16.4,0.0
18.2,16.4,0.0
18.2,16.4,0.0
18.2,16.4,0.0
18.2,16.4,0.0
18.2,16.4,0.0
18.2,16.4,0.0
18.2,16.4,0.0
18.2,16.4,0.0
18.2,16.4,0.0
18.2,16.4,0.0
18.2,16.4,0.0
18.2,16.4,0.0
18.2,16.4,0.0
18.2,16.4,0.0
18.2,16.4,0.0
18.2,16.4,0.0
18.2,16.4,0.0
18.2,16.4,0.0
18.2,16.4,0.0
18.2,16.4,0.0
18.2,16.4,0.0
18.2,16.4,0.0
18.2,16.4,0.0
18.2,16.4,0.0
18.2,16.4,0.0
18.2,16.4,0.0
18.2,16.4,0.0
18.2,16.4,0.0
19.0,16.4,0.0
19.0,16.4,0.0
19.0,16.4,0.0
19.0,16.4,0.0
19.0,16.4,0.0
19.0,16.4,0.0
19.0,16.4,0.0
19.0,16.4,0.0
19.0,16.4,0.0
19.0,16.4,0.0
19.0,16.4,0.0
19.0,16.4,0.0
19.0,16.4,0.0
19.0,16.4,0.0
19.0,16.4,0.0
19.0,16.4,0.0
19.0,16.4,0.0
19.0,16.4,0.0
19.0,16.4,0.0
19.0,16.4,0.0
19.0,16.4,0.0
19.0,16.4,0.0
19.0,16.4,0.0
19.0,16.4,0.0
19.0,16.4,0.0
19.0,16.4,0.0
19.0,16.4,0.0
19.0,16.4,0.0
19.0,16.4,0.0
19.0,16.4,0.0
19.0,16.4,0.0
19.0,16.4,0.0
19.0,16.4,0.0
19.0,16.4,0.0
19.0,16.4,0.0
19.0,16.4,0.0
19.0,16.4,0.0
19.0,16.4,0.0
19.0,16.4,0.0
