,X,Y,AP2 RTT(mm),AP3 RTT(mm),AP4 RTT(mm),AP5 RTT(mm),AP2 RSS(dBm),AP3 RSS(dBm),AP4 RSS(dBm),AP5 RSS(dBm),LOS APs
88,0,1,2946,5967,10699,7179,-52,-73,-70,-78,2
89,0,1,2773,5583,11665,7209,-53,-74,-72,-79,2
90,0,1,2757,6077,10470,7173,-53,-73,-71,-79,2
91,0,1,2829,5887,10704,6820,-53,-73,-71,-81,2
92,0,1,3061,5714,11226,6663,-52,-74,-70,-84,2
93,0,1,3026,5845,11086,6779,-53,-75,-71,-81,2
94,0,1,2754,5965,11201,7041,-53,-73,-72,-80,2
95,0,1,2737,5941,11046,6423,-52,-73,-72,-79,2
96,0,1,2566,5962,10929,6588,-53,-74,-72,-77,2
97,0,1,2599,5780,10849,6579,-52,-74,-72,-79,2
98,0,1,2599,5934,10959,6891,-53,-73,-70,-81,2
99,0,1,2819,5934,10671,6858,-52,-75,-72,-79,2
100,0,1,2873,5803,11984,6977,-52,-76,-73,-80,2
101,0,1,2860,5808,10856,6738,-53,-75,-73,-79,2
102,0,1,2683,6056,12047,6779,-53,-73,-73,-81,2
103,0,1,2850,6084,11780,6860,-52,-73,-72,-80,2
104,0,1,2939,6129,11880,6806,-53,-74,-71,-82,2
105,0,1,2641,6005,11883,6729,-52,-74,-71,-82,2
106,0,1,2679,6138,11784,6769,-52,-73,-72,-82,2
107,0,1,2719,6173,11841,6660,-52,-73,-72,-81,2
108,0,1,2685,6195,11939,6837,-52,-73,-71,-82,2
109,0,1,2773,5946,10908,6735,-53,-72,-71,-82,2
110,0,1,2979,5998,11046,6741,-53,-73,-71,-81,2
111,0,1,2719,5967,11993,6820,-53,-72,-72,-81,2
112,0,1,2623,6005,11027,6710,-53,-74,-70,-81,2
113,0,1,2742,6091,10711,6654,-54,-74,-71,-81,2
114,0,1,2737,5857,10734,6779,-54,-74,-70,-81,2
115,0,1,2757,5981,10791,6626,-54,-74,-70,-80,2
116,0,1,2683,6054,10793,6741,-54,-74,-70,-81,2
117,0,1,2679,5923,10903,6779,-54,-74,-71,-81,2
118,0,1,2787,5864,10753,6579,-54,-74,-70,-80,2
119,0,1,2623,6049,10636,6704,-54,-74,-71,-78,2
120,1,0,2232,6891,10003,6351,-50,-63,-73,-76,2
121,1,0,2332,6916,9912,6694,-54,-66,-74,-79,2
122,1,0,2051,8669,9947,6735,-55,-66,-73,-80,2
123,1,0,2154,6794,9825,6510,-54,-65,-73,-77,2
124,1,0,2235,8791,9823,6504,-55,-66,-73,-78,2
125,1,0,2295,6797,9823,6504,-53,-64,-72,-78,2
126,1,0,2351,6914,9916,6507,-54,-66,-74,-78,2
127,1,0,2348,7113,9945,6535,-54,-66,-74,-77,2
128,1,0,2023,6682,9944,6657,-55,-67,-75,-75,2
129,1,0,2201,6654,9825,8524,-54,-65,-71,-76,2
130,1,0,2248,7966,9912,7936,-55,-66,-73,-79,2
131,1,0,2217,7294,9940,6782,-55,-66,-73,-78,2
132,1,0,2210,6940,9940,8416,-55,-66,-73,-77,2
133,1,0,2276,6401,10001,7476,-54,-66,-74,-76,2
134,1,0,2365,6431,9940,6698,-55,-66,-75,-77,2
135,1,0,2414,6921,10090,6548,-54,-66,-75,-77,2
136,1,0,2395,6935,10057,6663,-55,-65,-75,-78,2
137,1,0,2337,6973,9940,6623,-55,-64,-76,-78,2
138,1,0,2248,7186,9879,6588,-55,-64,-76,-78,2
139,1,0,2283,6858,9966,6579,-55,-65,-76,-79,2
140,1,0,2341,6909,9912,6691,-55,-65,-76,-79,2
141,1,0,2083,7391,10020,6426,-54,-64,-76,-76,2
142,1,0,2451,6513,10132,6501,-54,-66,-75,-77,2
143,1,0,2351,6562,10139,6460,-55,-66,-74,-76,2
144,1,0,2248,6792,9907,6235,-55,-66,-75,-76,2
145,1,0,2330,6895,9823,7482,-54,-66,-73,-76,2
146,1,0,2184,6808,9797,6626,-55,-66,-77,-78,2
147,1,0,2058,6551,9816,7252,-56,-65,-76,-79,2
148,1,0,2126,6602,9998,6982,-56,-66,-74,-79,2
149,1,0,2354,6534,9919,6862,-55,-65,-74,-79,2
150,1,0,2386,6645,9912,6663,-54,-65,-74,-80,2
151,1,0,2383,6832,9916,6980,-54,-65,-74,-80,2
152,1,0,2295,6755,9973,7010,-54,-65,-74,-80,2
153,1,0,2229,6574,9916,6585,-54,-65,-73,-80,2
154,1,0,2244,6483,9884,6745,-54,-65,-73,-80,2
155,1,0,2304,6591,9912,6954,-55,-65,-73,-80,2
156,1,0,2269,6607,9919,6741,-54,-65,-73,-80,2
157,1,0,2207,6525,9912,7010,-54,-65,-74,-79,2
158,1,0,2445,6480,9907,6820,-54,-65,-74,-79,2
159,1,0,2395,6516,9879,7153,-54,-65,-74,-79,2
160,1,0,2374,7186,9996,7387,-55,-65,-75,-80,2
161,1,0,2327,6970,10029,7632,-55,-65,-75,-79,2
162,1,0,2358,7202,9975,8185,-55,-66,-74,-78,2
163,1,0,2301,7437,9968,8145,-55,-66,-74,-77,2
164,1,0,2135,8297,9945,6738,-55,-66,-73,-76,2
165,1,0,2219,8716,10090,7007,-55,-66,-74,-76,2
166,1,0,2351,8644,10029,7526,-55,-66,-74,-78,2
167,1,0,2447,7303,10057,7869,-54,-65,-75,-79,2
168,1,0,2423,7783,9975,7716,-55,-66,-75,-78,2
169,1,0,2388,8032,10062,7476,-55,-66,-74,-77,2
170,1,0,2086,7059,10057,6460,-56,-66,-74,-77,2
171,1,0,2100,7205,10031,6423,-57,-66,-74,-77,2
172,1,0,2060,6804,10085,6276,-55,-66,-73,-77,2
173,1,0,2217,6717,9909,6541,-55,-65,-74,-78,2
174,1,0,2219,8510,10029,6776,-55,-66,-74,-78,2
175,1,0,2243,9016,9940,7526,-55,-66,-74,-78,2
176,1,0,2135,8416,10029,8182,-55,-66,-74,-78,2
177,1,0,2320,8449,10029,7716,-55,-66,-75,-78,2
178,1,0,2083,7498,9916,7713,-55,-65,-75,-80,2
179,1,0,2248,6895,9968,7051,-54,-66,-75,-79,2
180,1,0,2051,7123,9973,6348,-56,-66,-74,-79,2
181,1,0,1924,9016,9825,6270,-57,-66,-74,-78,2
182,1,0,2276,6745,9937,6507,-56,-66,-74,-78,2
183,1,0,2123,6661,10036,6476,-56,-66,-74,-77,2
184,1,0,2088,6635,9973,6463,-55,-66,-74,-77,2
185,1,0,2276,6490,10057,6701,-56,-66,-74,-78,2
186,1,0,2276,6525,10001,7036,-55,-66,-74,-77,2
187,1,0,2301,6459,10001,6785,-55,-66,-74,-76,2
188,1,0,2060,6340,10029,7007,-55,-66,-73,-77,2
189,1,0,1999,6595,9963,6391,-55,-65,-73,-76,2
190,1,0,2006,7685,9973,6273,-55,-66,-74,-77,2
191,1,0,1950,7462,9919,6116,-56,-66,-74,-76,2
192,1,0,2301,7348,9884,6432,-55,-66,-75,-77,2
193,1,0,2323,7959,9879,6469,-55,-66,-75,-77,2
194,1,0,2337,6883,9996,6579,-55,-65,-75,-76,2
195,1,0,2114,7858,9879,6626,-54,-65,-75,-75,2
196,1,0,1891,8482,9853,6507,-56,-66,-75,-79,2
197,1,0,1826,7495,9912,6313,-57,-66,-75,-79,2
198,1,0,2039,7434,9853,6188,-56,-66,-75,-79,2
199,1,0,2320,8175,9823,6041,-55,-66,-75,-79,2
200,1,0,2220,6977,9914,6576,-55,-66,-76,-80,2
201,1,0,1912,7001,9762,6463,-55,-66,-75,-79,2
202,1,0,2248,7235,9825,6426,-54,-65,-72,-78,2
203,1,0,2220,6738,9825,6619,-55,-66,-74,-79,2
204,1,0,2304,6853,9825,6816,-55,-66,-74,-79,2
205,1,0,2320,7069,9945,6738,-55,-66,-75,-78,2
206,1,0,2086,7043,9851,7401,-55,-66,-75,-79,2
207,1,0,2341,6879,9907,6979,-55,-66,-76,-78,2
208,1,0,2215,6909,9945,6504,-54,-65,-74,-79,2
209,1,0,2212,6630,9937,6266,-55,-66,-76,-76,2
210,1,0,2301,6541,9916,6079,-55,-66,-75,-78,2
211,1,0,2276,6572,9795,6029,-55,-66,-75,-77,2
212,1,0,2395,6738,9823,6354,-55,-66,-75,-77,2
213,1,0,2381,6487,9914,7359,-53,-64,-73,-75,2
214,1,0,2107,7120,10029,7363,-55,-66,-74,-78,2
215,1,0,2255,6956,9916,6266,-54,-66,-75,-78,2
216,1,0,2151,7221,100000,6382,-54,-64,-200,-78,2
217,1,0,2241,8655,9973,6394,-56,-66,-73,-79,2
218,1,0,2023,8674,9942,6151,-55,-66,-74,-79,2
219,1,0,2123,7910,9916,6151,-55,-66,-74,-79,2
220,1,0,2130,7263,9912,6110,-55,-66,-74,-78,2
221,1,0,2210,7090,9909,6229,-55,-66,-73,-77,2
222,1,0,2255,7193,9853,6188,-55,-65,-73,-76,2
223,1,0,2241,7188,9912,6120,-54,-65,-74,-77,2
224,1,0,1969,7151,9947,6348,-55,-66,-74,-77,2
225,1,0,1856,7760,9942,6310,-55,-66,-74,-78,2
226,1,0,2013,7406,9881,6154,-55,-65,-74,-79,2
227,1,0,1955,7983,9916,6270,-55,-66,-74,-79,2
228,1,0,2051,8428,9973,6382,-55,-65,-74,-79,2
229,1,0,2163,7268,9879,6307,-55,-65,-74,-80,2
230,1,0,2037,7097,9912,6432,-56,-65,-74,-80,2
231,1,0,2262,7392,9973,6551,-56,-65,-74,-80,2
232,1,0,2079,7183,9823,6544,-57,-65,-75,-79,2
233,1,0,2001,7380,10005,6188,-56,-65,-74,-76,2
234,1,0,2128,7467,9968,6657,-55,-65,-74,-78,2
235,1,0,2313,6769,9851,6663,-54,-65,-75,-78,2
236,1,0,2051,6945,9851,6782,-54,-66,-73,-79,2
237,1,0,2257,6776,10029,7280,-55,-66,-75,-79,2
238,1,0,1943,6794,9998,6623,-58,-65,-75,-80,2
239,1,0,1926,6687,9945,6313,-57,-66,-74,-78,2
240,1,2,2585,6066,9004,11273,-56,-75,-78,-72,2
241,1,2,2008,5278,10437,11423,-59,-75,-80,-73,2
242,1,2,2871,5625,9663,11707,-60,-75,-81,-76,2
243,1,2,2416,7432,9541,11354,-60,-75,-80,-74,2
244,1,2,2433,7418,9198,11541,-61,-76,-79,-74,2
245,1,2,2494,7066,9404,11079,-59,-76,-81,-74,2
246,1,2,2175,6809,10945,9300,-58,-76,-81,-74,2
247,1,2,2177,6511,12410,8829,-57,-76,-78,-75,2
248,1,2,2538,7718,10601,11046,-59,-76,-79,-74,2
249,1,2,3298,7561,9704,11226,-61,-76,-80,-75,2
250,1,2,2817,6998,9673,9680,-61,-75,-80,-75,2
251,1,2,2294,7355,9551,11304,-60,-76,-81,-74,2
252,1,2,2114,7516,9204,11391,-59,-75,-80,-74,2
253,1,2,1821,7345,9126,11423,-58,-75,-80,-75,2
254,1,2,1924,6537,9129,11391,-58,-75,-81,-75,2
255,1,2,2109,6684,9154,11273,-58,-76,-81,-74,2
256,1,2,2001,6506,9232,11391,-59,-75,-81,-74,2
257,1,2,2175,5763,9676,11079,-59,-76,-80,-73,2
258,1,2,2618,7101,10488,11041,-60,-76,-79,-74,2
259,1,2,2794,7383,10676,11394,-60,-75,-79,-74,2
260,1,2,2508,7416,9991,11611,-60,-75,-79,-74,2
261,1,2,2337,7252,10603,11391,-60,-75,-79,-73,2
262,1,2,2505,7134,10332,11201,-62,-75,-79,-74,2
263,1,2,2885,7312,10457,11423,-61,-74,-77,-73,2
264,1,2,2445,7195,10170,11154,-61,-75,-79,-73,2
265,1,2,2445,7362,10485,11107,-61,-76,-79,-74,2
266,1,2,2475,7401,10576,11035,-62,-76,-79,-73,2
267,1,2,2372,7055,10288,10995,-61,-76,-80,-74,2
268,1,2,2325,7226,9748,11110,-61,-76,-80,-73,2
269,1,2,2433,6527,9748,11079,-61,-75,-80,-73,2
270,1,2,2433,6919,9582,11029,-60,-75,-80,-73,2
271,1,2,2386,7343,9388,11144,-60,-75,-81,-74,2
272,1,2,2419,6970,9626,11185,-60,-75,-80,-74,2
273,1,2,2440,7397,9844,11197,-60,-76,-80,-74,2
274,1,2,2480,7395,9820,11154,-60,-76,-80,-74,2
275,1,2,2702,7486,9516,11116,-61,-76,-80,-74,2
276,1,2,2515,6040,9357,11391,-60,-75,-80,-75,2
277,1,2,1849,5100,10685,10052,-56,-75,-79,-75,2
278,1,2,1877,7397,9394,11194,-57,-76,-81,-74,2
279,1,2,1631,5079,11076,8536,-56,-75,-79,-74,2
280,1,2,3049,5360,9591,11646,-56,-75,-80,-75,2
281,1,2,2412,5320,9520,9870,-58,-76,-81,-74,2
282,1,2,1858,7502,12525,11582,-59,-76,-79,-74,2
283,1,2,1891,7031,8770,11266,-57,-74,-78,-72,2
284,1,2,2374,7296,9445,9895,-58,-75,-80,-76,2
285,1,2,3436,5524,9885,11030,-58,-75,-80,-75,2
286,1,2,1959,7130,8845,10835,-57,-75,-78,-73,2
287,1,2,1716,7547,10179,10329,-56,-75,-81,-76,2
288,1,2,1791,5508,9435,9929,-56,-75,-76,-75,2
289,1,2,2142,5311,9004,11504,-57,-75,-78,-73,2
290,1,2,2613,5278,12220,11197,-60,-75,-80,-74,2
291,1,2,2205,6984,11938,8885,-57,-75,-81,-75,2
292,1,2,2393,7552,9510,9354,-57,-76,-80,-76,2
293,1,2,2405,7528,9388,9033,-57,-75,-80,-76,2
294,1,2,2318,7439,9201,8906,-58,-75,-79,-76,2
295,1,2,2700,7573,10210,8831,-57,-75,-80,-76,2
296,1,2,2674,7397,9210,9616,-56,-76,-80,-75,2
297,1,2,2208,7772,9007,10495,-57,-76,-79,-74,2
298,1,2,2166,5714,12668,11038,-58,-76,-80,-74,2
299,1,2,3966,5548,12588,11232,-58,-76,-80,-73,2
300,1,2,2829,4835,12291,10954,-58,-76,-78,-73,2
301,1,2,2058,5013,10376,10185,-57,-76,-78,-74,2
302,1,2,1917,5212,9623,10338,-56,-76,-78,-74,2
303,1,2,2027,5184,8923,10335,-56,-76,-78,-75,2
304,1,2,2069,5011,9585,11316,-56,-76,-79,-74,2
305,1,2,2334,5480,9113,11473,-57,-75,-80,-73,2
306,1,2,2147,5770,8810,11469,-57,-76,-79,-73,2
307,1,2,2116,5398,8960,11469,-56,-75,-80,-73,2
308,1,2,2140,5285,9120,10485,-56,-75,-80,-73,2
309,1,2,2156,5686,9123,10338,-56,-75,-80,-73,2
310,1,2,1945,5538,9163,10610,-56,-76,-80,-73,2
311,1,2,2123,5646,8616,10920,-56,-76,-79,-74,2
312,1,2,2081,6696,8807,10416,-56,-76,-79,-74,2
313,1,2,1861,6790,8804,10416,-56,-76,-79,-73,2
314,1,2,1936,6916,8841,11469,-56,-76,-78,-73,2
315,1,2,1887,7249,9198,11646,-56,-75,-79,-74,2
316,1,2,1856,7882,9313,10877,-57,-76,-78,-76,2
317,1,2,1994,7376,9110,10873,-59,-76,-78,-73,2
318,1,2,2515,6804,8888,11507,-59,-75,-79,-73,2
319,1,2,2370,6839,9029,11379,-60,-76,-81,-74,2
320,1,2,2796,6544,9326,11287,-59,-77,-81,-74,2
321,1,2,1969,6300,9473,11233,-58,-76,-80,-75,2
322,1,2,1849,7256,10910,10561,-56,-76,-79,-76,2
323,1,2,1943,7186,11863,8498,-56,-76,-78,-75,2
324,1,2,2093,7305,9560,8648,-56,-76,-78,-75,2
325,1,2,1805,7177,10882,9387,-56,-76,-79,-76,2
326,1,2,2119,5747,9735,11145,-56,-76,-79,-75,2
327,1,2,2037,7594,9710,11388,-57,-76,-79,-73,2
328,1,2,2112,7092,9707,11695,-59,-76,-80,-74,2
329,1,2,2205,7549,10598,10991,-59,-76,-81,-74,2
330,1,2,2348,5264,9210,10167,-57,-77,-80,-75,2
331,1,2,2306,7181,12628,11307,-58,-75,-80,-76,2
332,1,2,2039,6970,12750,10059,-58,-75,-80,-76,2
333,1,2,2177,7434,10754,11002,-58,-75,-78,-76,2
334,1,2,2198,7191,10473,10352,-58,-75,-78,-76,2
335,1,2,2062,6839,9310,10905,-59,-75,-78,-76,2
336,1,2,2355,6958,9038,9731,-59,-76,-78,-75,2
337,1,2,2177,6720,8973,9602,-57,-75,-78,-75,2
338,1,2,2065,6555,9323,11191,-57,-76,-80,-74,2
339,1,2,2065,7418,9676,11073,-58,-76,-80,-73,2
340,1,2,2308,5953,9316,10876,-57,-76,-80,-75,2
341,1,2,1891,7488,9348,11377,-57,-75,-79,-76,2
342,1,2,2887,7326,9779,10999,-57,-77,-80,-75,2
343,1,2,2098,7455,9591,10182,-55,-76,-79,-72,2
344,1,2,1978,7305,9276,10116,-57,-76,-78,-75,2
345,1,2,1655,5742,9829,9337,-56,-75,-79,-76,2
346,1,2,1997,5327,9085,11273,-59,-77,-78,-75,2
347,1,2,2494,6117,9238,10913,-59,-76,-80,-74,2
348,1,2,2362,6300,9782,11550,-59,-75,-79,-75,2
349,1,2,2203,7634,9319,11069,-56,-75,-81,-73,2
350,1,2,2557,7500,9501,11388,-57,-75,-80,-73,2
351,1,2,3619,5775,9398,11053,-60,-74,-79,-75,2
352,1,2,2386,5271,8976,10111,-59,-74,-81,-74,2
353,1,2,2273,7723,9113,11079,-56,-76,-80,-74,2
354,1,2,2965,8091,8966,11402,-55,-76,-79,-74,2
355,1,2,2346,5684,9038,11320,-55,-76,-80,-73,2
356,1,2,2470,7795,8970,11388,-57,-75,-77,-75,2
357,1,2,2848,7399,9238,9791,-57,-76,-79,-76,2
358,1,2,2592,7716,10315,11179,-58,-74,-80,-73,2
359,1,2,3459,7514,9698,11188,-56,-76,-80,-74,2
360,2,0,916,6260,8154,6266,-53,-73,-69,-77,2
361,2,0,819,6191,8182,5916,-53,-74,-72,-77,2
362,2,0,1523,6492,8360,6148,-55,-74,-70,-75,2
363,2,0,1701,6485,8796,6029,-54,-75,-72,-78,2
364,2,0,1767,6654,8883,5791,-54,-75,-72,-78,2
365,2,0,1320,6396,8388,5407,-55,-75,-72,-79,2
366,2,0,2920,6435,8890,5841,-55,-75,-71,-79,2
367,2,0,1462,6373,8859,5920,-57,-75,-72,-79,2
368,2,0,1141,6166,8761,5791,-57,-72,-71,-79,2
369,2,0,1310,6288,8745,5879,-58,-73,-72,-80,2
370,2,0,1910,6199,8803,5723,-57,-74,-71,-79,2
371,2,0,1441,6218,8648,5841,-55,-75,-71,-77,2
372,2,0,1237,6232,8737,5885,-56,-75,-71,-77,2
373,2,0,776,6166,8683,5869,-57,-74,-71,-79,2
374,2,0,738,6345,8529,5691,-57,-73,-71,-80,2
375,2,0,811,6279,8353,5951,-55,-73,-71,-79,2
376,2,0,926,6260,8416,6066,-55,-74,-70,-79,2
377,2,0,830,6316,8269,5979,-56,-73,-71,-79,2
378,2,0,748,6260,8457,5897,-56,-73,-71,-79,2
379,2,0,830,6279,8494,5754,-56,-74,-71,-79,2
380,2,0,909,6164,8599,5775,-56,-73,-71,-78,2
381,2,0,783,6255,8655,5833,-56,-74,-71,-78,2
382,2,0,752,6187,8501,5780,-54,-72,-70,-78,2
383,2,0,937,6281,8529,5869,-56,-73,-70,-78,2
384,2,0,1291,6279,8590,5882,-56,-72,-70,-77,2
385,2,0,1282,6291,8740,5835,-56,-74,-70,-78,2
386,2,0,1554,6373,8735,5879,-56,-74,-70,-77,2
387,2,0,1066,6349,8623,5794,-57,-74,-71,-77,2
388,2,0,778,6195,8641,5879,-56,-74,-70,-77,2
389,2,0,654,6258,8503,5954,-55,-73,-70,-77,2
390,2,0,763,6169,8508,5841,-53,-73,-71,-77,2
391,2,0,404,6260,8451,5923,-54,-73,-71,-78,2
392,2,0,904,6288,8707,5763,-55,-73,-71,-80,2
393,2,0,1005,6316,8351,5841,-54,-73,-71,-79,2
394,2,0,1082,6279,8299,5791,-54,-74,-71,-78,2
395,2,0,844,6291,8416,5916,-53,-72,-69,-77,2
396,2,0,691,6316,8501,6223,-52,-73,-69,-77,2
397,2,0,691,6337,8358,6185,-53,-74,-70,-77,2
398,2,0,1113,6241,8529,5726,-55,-74,-71,-79,2
399,2,0,1066,6166,8426,5841,-53,-73,-70,-78,2
400,2,0,766,6288,8538,5841,-53,-74,-69,-78,2
401,2,0,657,6260,8594,5766,-52,-74,-69,-78,2
402,2,0,1273,6150,8529,5641,-52,-74,-69,-78,2
403,2,0,1395,6260,8304,5716,-52,-75,-70,-77,2
404,2,0,921,6195,8388,6154,-55,-76,-70,-76,2
405,2,0,535,6239,8304,6047,-54,-76,-71,-76,2
406,2,0,1418,6457,8367,5925,-53,-75,-70,-77,2
407,2,0,1048,6398,8360,6307,-52,-75,-70,-78,2
408,2,0,926,6394,8334,6548,-52,-74,-70,-77,2
409,2,0,1241,6375,8271,6345,-52,-75,-70,-77,2
410,2,0,1113,6516,8210,6185,-52,-74,-70,-76,2
411,2,0,1408,6394,8325,6548,-52,-74,-71,-76,2
412,2,0,1258,6579,8210,6263,-53,-75,-71,-76,2
413,2,0,1141,6518,8332,6579,-53,-75,-70,-76,2
414,2,0,1219,6377,8358,6501,-53,-75,-70,-76,2
415,2,0,1420,6422,8538,6854,-52,-75,-69,-77,2
416,2,0,1341,6373,8351,6773,-52,-75,-69,-77,2
417,2,0,1385,6368,8416,6949,-53,-74,-69,-78,2
418,2,0,1202,6415,8391,6893,-52,-74,-70,-77,2
419,2,0,1282,6321,8480,6658,-54,-74,-70,-77,2
420,2,0,1209,6232,8388,6657,-53,-75,-69,-77,2
421,2,0,951,6260,8306,6391,-53,-75,-70,-77,2
422,2,0,810,6405,8271,6229,-55,-75,-70,-78,2
423,2,0,957,6316,8388,6113,-56,-75,-70,-78,2
424,2,0,841,6541,8248,6032,-56,-75,-71,-78,2
425,2,0,844,6520,8388,5879,-56,-74,-71,-78,2
426,2,0,797,6316,8416,5951,-56,-74,-71,-79,2
427,2,0,719,6429,8266,5991,-56,-74,-71,-79,2
428,2,0,848,6516,8365,6235,-55,-75,-70,-78,2
429,2,0,1282,6424,8391,6304,-55,-75,-70,-78,2
430,2,0,1045,6316,8423,6391,-53,-75,-69,-77,2
431,2,0,966,6387,8360,6469,-53,-75,-69,-77,2
